Area,Area url,Number of apartments in area,Apartment Url,Apartment,Deal,Pet Policy,Number of Units,Pet Rent,Pet Fee,Average Rating,Number of Reviews,Pet Fee Clean,Pet Rent Clean,Biggest Apt Size
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/admo-heights-washington-dc/v4m2kwf,AdMo Heights,Studios starting at $1449 1 Bedrooms starting at $1764 *Free rent included in pricing on a 13 month lease. Call for details!,"

Dogs and Cats Allowed


•Comments: 2 pets $500 deposit. •$55 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",2.0,•$55 Monthly Pet Rent,•$500 Fee,4.9,2 Renter Reviews,500,55,813
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-swift-at-petworth-metro-washington-dc/reev000,The Swift at Petworth Metro,None,"

Dogs and Cats Allowed


•$500 Fee
•2 Pet Limit

",0.0,,•$500 Fee,4.9,4 Renter Reviews,500,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/view-14-washington-dc/mdpd2hl,View 14,1 month free if you move in by the 25th of February 2021. In addition receive 1/2 off the amenity fee.,"

Dogs and Cats Allowed:


•Restrictions: Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by management. •$55 Monthly Pet Rent
•$600 Fee
•2 Pet Limit

",8.0,•$55 Monthly Pet Rent,•$600 Fee,4.8,4 Renter Reviews,600,55,732
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/warder-mansion-washington-dc/5whp04m,Warder Mansion,None,"

Dogs and Cats Allowed


•Comments: Please ask about weight and breed restrictions. Pet rent range is $20-$40 per month (per pet), based on recommendation from PetScreening system. •$350 Fee
•2 Pet Limit

",2.0,,•$350 Fee,4.0,1 Renter Reviews,350,,788
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/highland-park-at-columbia-heights-metro-washington-dc/kprf84b,Highland Park at Columbia Heights Metro,Ring in the New Year with Reduced Pricing!,"

Dogs and Cats Allowed:


•Restrictions: Certain restrictions apply •2 Pet Limit

",1.0,,,3.9,9 Renter Reviews,,,752
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/gelmarc-towers-washington-dc/v3rclbe,Gelmarc Towers,6 WEEKS FREE! For a limited time only - 6 weeks free on all units! Call or email today for details! New Residents Only.,"

Dogs and Cats Allowed


•$45 Monthly Pet Rent
•$150 Fee
•70 lb Weight Limit
•2 Pet Limit

",0.0,•$45 Monthly Pet Rent,•$150 Fee,3.9,7 Renter Reviews,150,45,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-woodner-washington-dc/bvr7rf8,The Woodner,Up to three months free rent! 3 month leases starting at $1199.00!,"

Dogs Allowed:


•Restrictions: Breed restrictions apply. •$50 Monthly Pet Rent
•$300 Fee
•25 lb Weight Limit
•1 Pet Limit

",3.0,•$50 Monthly Pet Rent,•$300 Fee,3.8,18 Renter Reviews,300,50,875
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,The Shay,"Lease now for TWO MONTHS FREE RENT plus a waived application and amenity fee. Restrictions may apply, see leasing agent for details.","

Dogs Allowed:


•Restrictions: Weight and breed restrictions may apply, see leasing agent for details. •$75 Monthly Pet Rent
•$500 Fee

",8.0,•$75 Monthly Pet Rent,•$500 Fee,5.0,No Reviews,500,75,738
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/arcade-sunshine-washington-dc/mz0p1xl,Arcade Sunshine,"One Month FREE on all vacants on 14 plus term! Waived reservation fee if you lease within 72 hours! CALL TODAY, LIMITED AVAILABILITY!","

Dogs Allowed:


•Restrictions: We accept 2 pets per apartment home. One time pet fee of $400-1 pet and $200 for 2pets. Monthly pet rent $50.00 per pet. •$100 Monthly Pet Rent
•$400 - 600 Fee
•2 Pet Limit

",0.0,$100 Monthly Pet Rent,- 600 Fee,5.0,2 Renter Reviews,600,100,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,Calvert Woodley,"$500 Off on Move-In Costs on Select Apartments! [Offer good thru Feb 15, 2021]","

Dogs and Cats Allowed:


•Restrictions: null •$65 Monthly Pet Rent
•3 Pet Limit

",8.0,•$65 Monthly Pet Rent,,4.0,2 Renter Reviews,,65,800
