Area,Area url,Number of apartments in area,Apartment Url,Apartment,Deal,Pet Policy
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/admo-heights-washington-dc/v4m2kwf,AdMo Heights,<p>Up to 2 months free rent on select apartments</p>,"['\n', <p>
<span>Dogs and Cats Allowed</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Comments:</span> 2 pets $500 deposit.</li> <li><span class=""bullet"">•</span>$55 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$500 Fee</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-swift-at-petworth-metro-washington-dc/reev000,The Swift at Petworth Metro,None,"['\n', <p>
<span>Dogs and Cats Allowed</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span>$500 Fee</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/view-14-washington-dc/mdpd2hl,View 14,<p>1 month free if you move in by the 25th of February 2021. In addition receive 1/2 off the amenity fee.</p>,"['\n', <p>
<span>Dogs and Cats Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by management.</li> <li><span class=""bullet"">•</span>$55 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$600 Fee</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/warder-mansion-washington-dc/5whp04m,Warder Mansion,None,"['\n', <p>
<span>Dogs and Cats Allowed</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Comments:</span> Please ask about weight and breed restrictions. Pet rent range is $20-$40 per month (per pet), based on recommendation from PetScreening system.</li> <li><span class=""bullet"">•</span>$350 Fee</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/highland-park-at-columbia-heights-metro-washington-dc/kprf84b,Highland Park at Columbia Heights Metro,<h4>Ring in the New Year with Reduced Pricing!</h4>,"['\n', <p>
<span>Dogs and Cats Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> Certain restrictions apply</li> <li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/gelmarc-towers-washington-dc/v3rclbe,Gelmarc Towers,<p>6 WEEKS FREE! For a limited time only - 6 weeks free on all units! Call or email today for details! New Residents Only.</p>,"['\n', <p>
<span>Dogs and Cats Allowed</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span>$45 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$150 Fee</li>
<li><span class=""bullet"">•</span>70 lb Weight Limit</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-woodner-washington-dc/bvr7rf8,The Woodner,<h4>Up to three months free rent! 3 month leases starting at $1199.00!</h4>,"['\n', <p>
<span>Dogs Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> Breed restrictions apply.</li> <li><span class=""bullet"">•</span>$50 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$300 Fee</li>
<li><span class=""bullet"">•</span>25 lb Weight Limit</li>
<li><span class=""bullet"">•</span>1 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,The Shay,"<p>Lease now for TWO MONTHS FREE RENT plus a waived application and amenity fee. Restrictions may apply, see leasing agent for details.</p>","['\n', <p>
<span>Dogs Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> Weight and breed restrictions may apply, see leasing agent for details.</li> <li><span class=""bullet"">•</span>$75 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$500 Fee</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/arcade-sunshine-washington-dc/mz0p1xl,Arcade Sunshine,"<p>One Month FREE on all vacants on 14 plus term! Waived reservation fee if you lease within 72 hours! CALL TODAY, LIMITED AVAILABILITY!</p>","['\n', <p>
<span>Dogs Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> We accept 2 pets per apartment home. One time pet fee of $400-1 pet and $200 for 2pets. Monthly pet rent $50.00 per pet.</li> <li><span class=""bullet"">•</span>$100 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>$400 - 600 Fee</li>
<li><span class=""bullet"">•</span>2 Pet Limit</li>
</ul>, '\n']"
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,Calvert Woodley,"<p>$500 Off on Move-In Costs on Select Apartments! [Offer good thru Feb 15, 2021]</p>","['\n', <p>
<span>Dogs and Cats Allowed:</span>
</p>, '\n', <ul>
<li><span class=""bullet"">•</span><span class=""bullet-label"">Restrictions:</span> null</li> <li><span class=""bullet"">•</span>$65 Monthly Pet Rent</li>
<li><span class=""bullet"">•</span>3 Pet Limit</li>
</ul>, '\n']"
