index,Apartment,Apartment URL,Sq Feet,Sq Feet Clean,Rent,Rent Simple,Bedrooms,Deposit,Available
0,AdMo Heights,https://www.apartments.com/admo-heights-washington-dc/v4m2kwf,705 Sq Ft,705,"$1,764 - 1,848",1764 ,"('1 ', ' bedroom')",$0,Available Now
1,AdMo Heights,https://www.apartments.com/admo-heights-washington-dc/v4m2kwf,813 Sq Ft,813,"$2,058",2058,"('1 ', ' bedroom')",$0,Available Now
4,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,732 Sq Ft,732,"$2,114",2114,"('1 ', ' bedroom')",$100,Available Now
6,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,079 - 2,395",2079 ,"('1 ', ' bedroom')",$100,Feb 20
7,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,255",2255,"('1 ', ' bedroom')",$100,Mar 13
8,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,234",2234,"('1 ', ' bedroom')",$100,Mar 20
9,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,079",2079,"('1 ', ' bedroom')",$100,Mar 27
10,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,185",2185,"('1 ', ' bedroom')",$100,Mar 27
11,View 14,https://www.apartments.com/view-14-washington-dc/mdpd2hl,708 Sq Ft,708,"$2,289",2289,"('1 ', ' bedroom')",$100,Mar 27
20,Warder Mansion,https://www.apartments.com/warder-mansion-washington-dc/5whp04m,788 Sq Ft,788,"$2,142 - 2,987",2142 ,"('1 ', ' bedroom')",$0,Available Now
21,Warder Mansion,https://www.apartments.com/warder-mansion-washington-dc/5whp04m,733 Sq Ft,733,"$2,242 - 3,113",2242 ,"('1 ', ' bedroom')",$0,Available Now
24,Highland Park at Columbia Heights Metro,https://www.apartments.com/highland-park-at-columbia-heights-metro-washington-dc/kprf84b,752 Sq Ft,752,"$1,990 - 2,090",1990 ,"('1 ', ' bedroom')",$0,Available Now
26,The Woodner,https://www.apartments.com/the-woodner-washington-dc/bvr7rf8,875 Sq Ft,875,"$1,799",1799,"('1 ', ' bedroom')",$900,Available Soon
27,The Woodner,https://www.apartments.com/the-woodner-washington-dc/bvr7rf8,750 Sq Ft,750,"$2,029",2029,"('2 ', ' bedroom')",$0,Available Soon
28,The Woodner,https://www.apartments.com/the-woodner-washington-dc/bvr7rf8,"1,000 Sq Ft",1000,"$2,229",2229,"('2 ', ' bedroom')",$0,Available Soon
32,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,738 Sq Ft,738,"$1,893 - 1,962",1893 ,"('1 ', ' bedroom')",$500,Available Now
33,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,738 Sq Ft,738,"$1,893 - 1,962",1893 ,"('1 ', ' bedroom')",$0,Available Now
34,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,737 Sq Ft,737,"$1,911 - 1,980",1911 ,"('1 ', ' bedroom')",$500,Available Now
35,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,737 Sq Ft,737,"$1,911 - 1,980",1911 ,"('1 ', ' bedroom')",$0,Available Now
36,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,711 Sq Ft,711,"$2,005 - 2,074",2005 ,"('1 ', ' bedroom')",$500,Feb 10
37,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,711 Sq Ft,711,"$2,005 - 2,074",2005 ,"('1 ', ' bedroom')",$0,Feb 10
38,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,730 Sq Ft,730,"$2,292 - 2,361",2292 ,"('1 ', ' bedroom')",$500,Mar 11
39,The Shay,https://www.apartments.com/the-shay-washington-dc/lqsqmxd,730 Sq Ft,730,"$2,292 - 2,361",2292 ,"('1 ', ' bedroom')",$0,Mar 11
48,Calvert Woodley,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,800 Sq Ft,800,"$1,894 - 2,053",1894 ,"('1 ', ' bedroom')",$0,Available Now
49,Calvert Woodley,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,800 Sq Ft,800,"$2,053",2053,"('1 ', ' bedroom')",$0,Available Now
50,Calvert Woodley,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,800 Sq Ft,800,"$2,193",2193,"('1 ', ' bedroom')",$0,Available Now
52,Calvert Woodley,https://www.apartments.com/calvert-woodley-washington-dc/jczwcd6,800 Sq Ft,800,"$1,902",1902,"('1 ', ' bedroom')",$0,Feb 8
